1,13964.2000
2,13964.2100
3,13964.2200
4,13964.2300
5,13964.2400
6,13964.2500
7,13964.2600
8,13964.2700
9,13964.2800
10,13964.2900
11,13964.3000
12,13964.3100
13,13964.3200
